,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arraial do Cabo,40,BR,1566855409,73,-22.97,-42.02,69.8,11.41
1,Bluff,10,AU,1566855411,78,-23.58,149.07,59.41,6.42
2,Saint-Augustin,20,CA,1566855412,36,45.63,-73.98,81.0,4.7
3,Punta Arenas,40,CL,1566855413,66,-53.16,-70.91,41.0,25.28
4,Albany,20,US,1566855235,39,42.65,-73.75,80.01,4.09
5,Leningradskiy,100,RU,1566855415,98,69.38,178.42,43.39,12.03
6,Rikitea,72,PF,1566855416,57,-23.12,-134.97,68.95,7.34
7,Kapaa,75,US,1566855418,62,22.08,-159.32,89.6,18.34
8,Hobart,75,AU,1566855278,61,-42.88,147.33,51.01,9.17
9,Bredasdorp,67,ZA,1566855420,71,-34.53,20.04,50.0,6.93
10,Pevek,100,RU,1566855421,96,69.7,170.27,40.51,8.01
11,Mabaruma,68,GY,1566855422,93,8.2,-59.78,78.49,4.85
12,Ilulissat,20,GL,1566855424,42,69.22,-51.1,46.4,9.17
13,Saint-Philippe,1,CA,1566855425,31,45.36,-73.48,81.0,2.24
14,New Norfolk,75,AU,1566855426,61,-42.78,147.06,51.01,9.17
15,Mataura,96,NZ,1566855427,84,-46.19,168.86,42.01,3.0
16,Lorengau,85,PG,1566855428,86,-2.02,147.27,79.21,8.48
17,Jamestown,0,AU,1566855430,85,-33.21,138.6,37.09,1.79
18,Muscat,20,OM,1566855431,89,23.6,58.55,84.2,4.7
19,Mehamn,75,NO,1566855432,100,71.03,27.85,50.0,1.12
20,Hermanus,100,ZA,1566855433,79,-34.42,19.24,52.0,3.0
21,Dalbandin,93,PK,1566855435,10,28.9,64.41,82.81,18.32
22,Ovada,0,IT,1566855152,69,44.64,8.65,78.8,5.82
23,Catuday,20,PH,1566855437,83,16.29,119.81,83.35,15.28
24,Bulgan,17,MN,1566855438,87,48.81,103.53,44.47,2.53
25,Dauphin,40,CA,1566855440,53,51.15,-100.04,71.6,29.97
26,Tuktoyaktuk,75,CA,1566855441,87,69.44,-133.03,50.0,9.17
27,Barrow,87,AR,1566855442,65,-38.31,-60.23,66.25,6.35
28,Tasiilaq,58,GL,1566855443,81,65.61,-37.64,44.6,3.36
29,Ushuaia,40,AR,1566855149,80,-54.81,-68.31,42.8,11.41
30,Adrar,32,DZ,1566855445,11,27.87,-0.29,100.4,6.93
31,Khilok,100,RU,1566855447,97,51.36,110.46,50.23,6.96
32,La Ronge,75,CA,1566855448,93,55.1,-105.3,55.4,3.36
33,Carnarvon,0,ZA,1566855449,53,-30.97,22.13,48.97,9.1
34,Nioro,100,GM,1566855450,89,13.79,-15.05,76.51,9.33
35,Bojnurd,0,IR,1566855451,37,37.47,57.33,71.6,13.87
36,Culiacancito,75,MX,1566855453,59,24.82,-107.53,96.01,4.7
37,Bambous Virieux,75,MU,1566855454,56,-20.34,57.76,71.6,11.41
38,Klaksvik,100,FO,1566855455,93,62.23,-6.59,51.8,12.75
39,Sisimiut,81,GL,1566855456,84,66.94,-53.67,44.47,2.01
40,Turayf,0,SA,1566855458,23,31.68,38.65,87.8,6.93
41,Busselton,67,AU,1566855459,65,-33.64,115.35,42.01,12.48
42,Yar-Sale,98,RU,1566855460,80,66.83,70.83,37.99,5.79
43,Vila Franca do Campo,40,PT,1566855462,78,37.72,-25.43,71.6,4.7
44,Doka,83,SD,1566855463,85,13.52,35.76,75.25,3.76
45,Aswan,0,EG,1566855464,21,24.09,32.9,93.2,6.93
46,Qaanaaq,100,GL,1566855465,93,77.48,-69.36,35.47,7.2
